"PRINCIPAL PARTS","GLOSS","CHAPTER"
"pāx pācis f.","peace; favor","8"
"perīculum perīculī n.","danger","8"
"plēnus –a –um","full","8"
"possum posse potuī","to be able","8"
"post","after (adv. and prep. +acc.)","8"
"ratiō ratiōnis f.","method","8"
"sacer sacra sacrum","holy","8"
"studeō studēre studuī","to be eager","8"
"subitō","suddenly","8"
"verbum verbī n.","word","8"
"agō agere ēgī āctus","to drive, do, act, concern oneself with","9"
"aut; aut…aut","or, either...or","9"
"capiō capere cēpī captus","to seize","9"
"carmen carminis n.","song, poem","9"
"dīcō dīcere dīxī dictus","to say, speak","9"
"discō discere didicī","to learn","9"
"dūcō dūcere dūxī ductus","to lead; consider","9"
"egō meī mihi mē mē","I, me","9"
"et(iam)","even, also","9"
"faciō facere fēcī factus","to do, make","9"
"inter","between, among; during","9"
"mittō mittere mīsī missus","to send; release, let go","9"
"nōs nostrum/nostrī","we; us","9"
"olim","formerly","9"
"poēta poētae m.","poet","9"
"quid agis?","how are you?","9"
"regō regere rēxī rēctus","to rule","9"
"scrībō scrībere scrīpsī scrīptus","to write","9"
"sedeō sedēre sēdī sessus","to sit","9"
"tū tuī tibi tē tē","you","9"
"valē/valēte","to greetings! farewell!","9"
"valeō valēre valuī valitus","to be strong, be worth","9"
"vincō vincere vīcī victus","to conquer","9"
"vōs vestrum/vestrī","you (plural)","9"
"alius alia aliud (archaic: alis alid)","other, another","10"
"alius..alius; alii…alii","one...another; some…others","10"
"cognōscō cognōscere cognōvī cognitus","to learn, understand, inquire","10"
"creō creāre creāvī creātus","to create, produce","10"
"etiam","also","10"
"factum factī n.","deed","10"
"fugiō fugere fūgī fugitus","to flee, escape","10"
"hīc","here","10"
"ille illa illud","that","10"
"incipiō incipere incēpī inceptus","to begin","10"
"is ea id","he, she, it; that","10"
"ita","in this way, so","10"
"iūdicō iūdicāre iūdicāvī iūdicātus","to judge, decide","10"
"iūs iūris n.","right, justice, law","10"
"legō legere lēgī lēctus","to choose, collect; read","10"
"nōn sōlum…sed/vērum etiam","not only...but also","10"
"nūllus –a –um","not any, no","10"
"persuādeō persuādēre persuāsī persuāsus","to persuade","10"
"sōlus –a –um","alone, only","10"
"tamen","nevertheless, however","10"
"tōtus –a –um","whole","10"
"ūllus –a –um","any","10"
"ūnus –a –um","1","10"
"ante","before, in front of (adv. and prep. +acc.)","11"
"cadō cadere cecidī cāsum","to fall","11"
"causa causae f.","cause, reason, lawsuit","11"
"causā","for the purpose of","11"
"coniūnx coniugis f.","spouse","11"
"crēdō crēdere crēdidī crēditus","to trust, believe","11"
"dexter dextra dextrum","right, on the right side","11"
"flūmen flūminis n.","river","11"
"grātia grātiae f.","favor, influence, gratitude","11"
"grātiās agere","give thanks (+dat.)","11"
"lacrima lacrimae f.","tear","11"
"laus laudis f.","praise, glory","11"
"mīles mīlitis m.","soldier","11"
"nam","for","11"
"nec","nor; and not","11"
"neque or nec","and not; neither … nor …","11"
"neque/nec…neque/nec","neither...nor","11"
"per","through","11"
"petō petere petiī/petīvī petītus","to seek, go towards","11"
"relinquō relinquere relīquī relictus","to abandon","11"
"secundus –a –um","following, second","11"
"timor timōris m.","fear","11"
"ācer ācris ācre","sharp, piercing","12"
"aetās aetātis f.","age","12"
"annus annī m.","year","12"
"bellum gerō","wage war","12"
"brevis breve","short, brief","12"
"celer celeris celere","swift","12"
"difficilis difficile","difficult","12"
"discēdō discēdere discessī discessum","to go away, depart","12"
"dolor dolōris m.","pain, grief","12"
"dulcis dulce","sweet","12"
"facilis facile","easy","12"
"fēlīx fēlīcis","fortunate","12"
"fortis forte","brave; strong","12"
"Gallia Galliae f.","Gaul","12"
"gēns gentis f.","family, clan","12"
"gerō gerere gessī gestus","to bear, manage","12"
"hōra hōrae f.","hour","12"
"ingēns ingentis","huge","12"
"omnis omne","every; all","12"
"pēs pedis m.","foot","12"
"potēns","powerful","12"
"sīc","so, in this way","12"
"tempus temporis n.","time","12"
"ter","3 times","12"
"audiō audīre audīvī audītus","to hear","13"
"cōpia cōpiae f.","abundance; troops","13"
"dīgnus –a –um","worthy","13"
"dormiō dormīre dormīvī dormītum","to sleep","13"
"fīniō fīnīre fīnīvī fīnītus","to finish, limit","13"
"fīnis fīnis m.","end, boundary","13"
"impediō impedīre impedīvī/impediī impedītus","to hinder","13"
"indīgnus –a –um","unworthy (of)","13"
"intellegō intellegere intellēxī intellēctus","to understand","13"
"iter itineris n.","journey","13"
"mōra mōrae f.","delay","13"
"mortālis –e","mortal","13"
"paucus –a –um","(pl.) a few; (sing.) small","13"
"prohibeō prohibēre prohibuī prohibitus","to prevent","13"
"reliquus –a –um","remaining","13"
"sapiēns –ntis","wise","13"
"sciō scīre scīvī/sciī scītus","to know","13"
"senex senis m.","old man","13"
"sentiō sentīre sēnsī sēnsus","to perceive","13"
"serviō servīre servīvī servītus","to serve","13"
"superī –ōrum m.","those above, i.e. the gods","13"
"superus –a –um","above","13"
"suus –a –um","his/her/its own","13"
"veniō venīre vēnī ventum","to come","13"
"absum abesse āfuī āfutūrus","to be away, be absent","14"
"adveniō advenīre advēnī adventus","to arrive","14"
"arbor (or arbos) arboris f.","tree","14"
"circā","around (adv. and prep. +acc.)","14"
"circum or circa","around","14"
"cūrō cūrāre cūrāvī cūrātus","to care for","14"
"dīmittō dīmittere dīmīsī dimīssus","to send away","14"
"genus generis n.","origin","14"
"honor or honos honōris m. ","honor; office","14"
"hostis hostis m.","(public) enemy","14"
"iam","now; already","14"
"inveniō invenīre invēnī inventus","to find, discover","14"
"lēgātus lēgātī m.","lieutenant, envoy","14"
"longus –a –um","long, far","14"
"mare maris n.","sea","14"
"medius –a –um","middle, in the middle, in half","14"
"moneō monēre monuī monitus","to warn, advise","14"
"nox noctis f.","night","14"
"rapiō rapere rapuī raptus","to seize, carry off","14"
"scelus sceleris n.","crime","14"
"stō stāre stetī statum","to stand","14"
"tantus –a –um","so much, so great","14"
"atque or ac","and, also","15"
"aureus (aurātus) –a –um","golden","15"
"aurum aurī n.","gold","15"
"cēdō cēdere cessī cessum","to yield","15"
"cīvis cīvis m. or f.","citizen","15"
"dūrus –a –um","hard, harsh","15"
"fessus –a –um","tired","15"
"forte","by chance","15"
"humus humī f.","ground","15"
"ignis ignis m.","fire","15"
"labor labōris m.","work","15"
"lītus lītoris n.","sea–shore","15"
"lūmen luminis n.","light","15"
"pectus pectoris n.","chest, breast; heart","15"
"pōnō pōnere posuī positus","to place","15"
"prōvincia prōvinciae f.","province","15"
"super","over (adv. and prep. +acc.)","15"
"surgō surgere surrēxī surrēctus","to rise","15"
"temptō temptāre temptāvī temptātus","to try","15"
"trīstis trīste","sad, gloomy","15"
"unda undae f.","wave","15"
"volvō volvere voluī volūtum","to roll, to ponder","15"
"ārdeō ārdēre ārsī ārsum","to burn, glow","16"
"cāsus cāsūs m.","fall, chance","16"
"cornū cornūs n.","horn","16"
"diēs diēī m. or f.","day","16"
"domus domī f.","house, home","16"
"faciēs facieī f.","appearance, face","16"
"fidēs fideī f.","trust, faith","16"
